Title,Link,Press,Description
"[미리 보는 2021] 팬데믹 이후 이제껏 경험하지 못한 새 시대가 열린다","http://www.nongmin.com/article/ar_detail.htm?ar_id=602979","농민신문","‘접촉하다’라는 뜻의 콘택트(Contact)에 부정(否定)의 의미인 ‘언(Un―)’을 합성한 말로 서울대학교 소비트렌드분석센터가 <트렌드 코리아 2018>에서... 1995년 이후 출생한 세대로 10대 후반에서 20대 중반을 일컫는다. 이들은 이전 세대와는 확연히 다른 삶의 방식으로 기성세대를 당혹하게 한다. 특이한..."
"새해에 달라지는 것들…종부세 급증, 증권거래세 인하, 최저임금 8720원...","http://www.insidevina.com/news/articleView.html?idxno=15285","인사이드 비나","내년 3월25일부터 금융소비자보호법이 시행돼 대출•보험•고난도펀드 등은 계약체결후 7~15일 내 자유롭게 계약을 해지할 수 있고(청약철회권)... 부모와 떨어져 사는 수급가구내 20대 미혼청년에게 별도의 주거급여가 지원되며 예술인들의 고용보험 적용하고 함께 희귀질환자 의료비 지원대상 질환도..."
"제2금융권까지 번진 '영끌·빚투'…빚폭탄 터질라","http://www.idaegu.co.kr/news/articleView.html?idxno=333325","대구신문","2019년부터 2020년에 걸쳐 20대 일자리가 20만개 줄었고, 30대는 29만개가 줄었다. 저성장 시대 삶의 불확실성이 커졌다. 평생직장은 사라졌고, 그에 따라... 금융당국이 '빚투'·'영끌'을 막기 위해 규제강화에 나섰지만 자금이 필요한 소비자들이 대출을 멈추지 않고 2금융권으로 넘어가면서 금리 부담은 오히려..."
"[2020 뷰티결산②] 가볍게, 자극없게... '뉴노멀' 신상 쏟아졌다","http://www.meconomynews.com/news/articleView.html?idxno=48928","시장경제신문","마스크에 메이크업이 묻어나고, 지워지고, 피부 자극까지 더해져 고민이었던 소비자들의 니즈를 정확히 공략했다. 또한 이 쿠션은 제주 약쑥 워터... 이번 신제품은 20대 피부 환경에 더 많이 존재하는 바이옴을 원료화한 'AHC 20s 바이옴(트웨니스 바이옴)'을 함유해 탄탄하고 건강한 피부로 케어해주는 것이..."
"페이코 연간 이용 트렌드 공개…'비대면 소비' 급증","http://www.newsis.com/view/?id=NISX20201231_0001290546&cID=13001&pID=13000","뉴시스","페이코 이용자들의 서비스 사용 패턴은 연령별로 살펴보면 20대 여성 회원이 가장 많았다. 30대 결제 고객에서는 남성 이용자에서 큰 손 고객이 더 많았으며, 50대 이상 회원도 14%에 달하는 것으로 나타났다. 또한 일주일 중 온라인 결제가 가장 활발한 시간은 일요일 저녁 6시로 확인됐다. 반면 오프라인..."
"[백승주의 언어의 서식지] 현실은 글자 네 개 밖에 있다","https://hankookilbo.com/News/Read/A2020123110220002040?did=NA","한국일보","20대 초반의 나는 자신의 운명을 모른 채 호기롭게 떠벌렸다. 이런 저런 실없는 농담이 오갔다. 그러다 학문하는 자의 태도를 가리키는 세 가지 사자성어가... 그러나 이 시기에 사자성어가 유통되고 소비되는 모습이 내게는 일종의 전근대로의 퇴행처럼 보인다. 얼마 전 2020년 ‘올해의 사자성어’로 아시타비..."
"[92년생 김지영①] 다 타버린 여성들…그래도 ‘페미니즘’","https://www.womennews.co.kr/news/articleView.html?idxno=205478","여성신문언론사 선정","그는 20대 초중반을 열정적인 페미니스트로 살았다. 거리서명에서부터 집회 참여, 댓글 달기, 페미니즘 관련 상품을 소비하기, 혜화역 시위와 낙태죄 폐지 시위 참여하기. 불합리한 세상을 바꾸기 위해 할 수 있는 일들을 해나가려 노력했다. 그러나 이제 그는 자신이 지쳤다고 느낀다. "아무리 말을 해도..."
"정치 목소리 내고 가이드 만들고... 음악계 지배한 '팬덤'","http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002707387&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news","오마이뉴스","21세기의 음악 팬은 아티스트가 제공하는 콘텐츠를 소비하는 데 만족하지 않는다. 과거 팬카페, 블로그나 홈페이지를 제작하던 선배들(?)과 달리... 10대, 20대 케이팝 그룹에 국한된 것이 아님을 증명했다. 케이팝 팬덤 역시 음원 시장에서는 차트 개편으로 과거 같은 높은 순위에 아티스트들을 올리진..."
"조현민 한진 부사장, 4개월만에 초고속 승진 배경은","http://www.mediapen.com/news/view/588658","미디어펜","LG애드에서 첫 사회생활을 시작한 그는 20대 중반부터 대한항공 통합커뮤니케이션실·진에어 마케팅부를 거쳐오며 다소 보수적인 한진그룹 이미지를 젊게... 이 중 함안수박 기프트카드 사업은 농협·경남 함안군과 함께 진행한 것으로 지역 수박 소비 확산을 통한 농가 소득 증대를 목적으로 하는 공유가치창출..."
"출판인들이 꼽은 올해의 책들은?","https://www.sisain.co.kr/news/articleView.html?idxno=43495","시사IN","한 출판인은 이 책을 두고 “생산자·평단이 아닌 소비자인 독자에서 시작된 책이다. 이제 등단의 의미가 바뀌었다”라고 평했다. 이서윤·홍주연 작가의... 이 밖에 20대 담론을 계급 세습의 문제로 조명한 〈세습 중산층 사회〉(조귀동 지음), ‘텔레그램 n번방 사건’을 최초로 보도한 이들이 쓴 르포 〈우리가..."
