Title,Link,Press,Description
"'포털 효과' 누린 지역언론, 조회수 유혹에 빠지기도","http://www.mediatoday.co.kr/news/articleView.html?idxno=307680","미디어오늘언론사 선정","실시간으로 다량의 뉴스가 소비되는 환경에 맞춰 근무 형태나 업무 방식을 개편하고 평소 기사가 적은 시간대에도 송고되는 기사를 늘리는 식이다. 포털... '20대 뉴스' 선보인 네이버, '지역뉴스' 큐레이션은 안 될까 특별심사 도입으로 지역 언론사들이 대거 포털에 진출한 점 자체는 고무적으로 평가할 만하다...."
"콜라보로 이어지는 전통주 시장 [명욱의 술 인문학]","http://www.segye.com/content/html/2022/12/28/20221228516957.html?OutUrl=naver","세계일보언론사 선정","20대로 이뤄진 이들이 추구한 것은 소맥이라는 모두가 아닌 이름을 통해 한국의 전통주를 널리 알리고자 하는 것이었다. 결국 전통주와 소맥의... 게다가 지역과 농업적 가치를 담은 가치소비로 이어지고 있는 것이 현재 전통주의 모습이다. 전통은 옛것을 복원하는 것뿐만이 아닌 계승하고 이어가야 한다고..."
"이번 주 종합 베스트셀러 순위 [인포그래픽]","http://www.sisunnews.co.kr/news/articleView.html?idxno=176234","시선뉴스","매우 부정적인 전망이 압도하는 2023년을 목전에 두고 있는 지금, 소비 트렌드 전망에서 가장 중요한 것은 무엇이 반복되고 무엇이 달라질 것인가를... 고등학교에서 역사를 가르치다 정년퇴임하여 매사에 교사 본능이 발동하는 편의점 사장 염 여사를 필두로 20대 취준생 알바 시현, 50대 생계형 알바 오 여사..."
"“자기야 카드명세서 이것 뭐야”...아내가 따지기 시작한 이유 [생생유...","https://www.mk.co.kr/article/10587692","매일경제언론사 선정","사회적 거리두기 해제 이후 리오프닝 기대와 보복소비 심리 강화로 백화점은 두자릿수 매출을 기록할 정도로 호황이었다. 하지만 러시아-우크라이나... 지난 10월 중순 SPC그룹 계열 SPL 제빵공장에서 20대 근로자가 사망하는 안타까운 사고가 발생했다. 허영인 회장의 사과 등 한달만에 4차례나..."
"위스키 품귀현상 빚는 이유 아시나요?…술 취향에 진심인 OO때문","http://www.ntoday.co.kr/news/articleView.html?idxno=95470","투데이신문","특히 위스키는 생산지, 재료, 블렌딩, 숙성 등에 따라 종류가 다양해 최근 취향을 중시하는 소비자 심리에 딱 알맞게 적용되고 있다. 지난 2018년 상영된 영화 <소공녀>에서도 20대 여성인 '미소'는 "집은 없어도 생각과 취향은 있어"라고 말한다. 미소는 의식주보다는 자신만을 위한 작은 사치인..."
"GS25, Z세대 고객 겨냥 대학생 디자이너들과 '콜라보'","http://www.getnews.co.kr/news/articleView.html?idxno=611381","글로벌경제","'리노베이션(RE:novation)', '초고추장', '인스퍼(INSPIR)', 'GS22.3' 등 최종 발표회 후보에 오른 4개팀은 최근 20대가 재미를 추구하고, 귀여운 상품에 쉽게 지갑을 열며, 자신을 위한 소비에 돈을 아끼지 않는 등의 특성을 거론하며 다양한 디자인 콘셉트를 제안했다. 리노베이션팀은 커피가 현대인에게..."
"“콜라주로 보는 ‘동아일보 선정 2022년 10대 뉴스’”…일주일사진정...","https://www.donga.com/news/article/all/20221231/117233129/1","동아일보언론사 선정","미국 소비자물가상승률은 41년 만에 최고치인 9.1%(6월)까지 치솟았다. 10년 넘게 이어진 유동성 과잉과 우크라이나 전쟁, 코로나19 팬데믹이 야기한... 국민의힘 윤석열 후보는 3·9대선에서 박빙의 표차(0.73%포인트)로 20대 대통령에 당선됐다. 윤 대통령은 5월 10일 취임과 동시에 권력의 상징이었던 청와대를..."
"[2022 송년기획] 안전사고·위생문제로 눈물짓는 ‘ESG’… 지속가능 발...","http://www.newscj.com/article/20221231580111","천지일보","소비자 ‘책임소비·미닝아웃’ 등 가치 추구 트렌드 변화에 기업들도 ESG 더욱 강화 안전기준에 부합한 기계·장치 그대로 사용 SPC·농심 등 대기업서... 지난 10월 15일 SPC그룹 계열사인 SPL 평택 제빵공장에서 20대 근로자가 소스 배합기 기계에 몸이 끼어 숨지는 사고가 발생했다. 당시 높이 1m가 넘는..."
"“새해 1억원 모으려면 100원부터”…앱테크, MZ 절반이 빠졌다[머니뭐...","http://news.heraldcorp.com/view.php?ud=20221230000510","헤럴드경제언론사 선정","#20대 대학생 A씨는 매일같이 ‘앱테크(애플리케이션+재테크)’로 하루를 마무리한다. A씨가 앱테크를 위해 하루에 접속하는 앱은 평균 7개로, 운이 좋은... 비대면 고객을 모으고자 하는 금융사들의 니즈와 한 푼이라도 아끼려는 소비자들의 수요가 맞물린 상황, ‘앱테크’ 시장의 성장세는 더욱 거세질..."
"'스낵 비즈니스' 숏폼 전성시대","http://www.fortunekorea.co.kr/news/articleView.html?idxno=25584","포춘코리아","20대는 15.0분으로, 40대, 50대(19.6분, 20.9분)에 비해 짧은 것으로 나타났다. 메조미디어 측은 "숏폼 콘텐츠 성장의 중심에는 어릴 때부터 스마트폰을 사용해온 디지털 네이티브 세대가 있다"며 "이들 Z세대는 틈날 때마다 디지털 콘텐츠를 소비하며, 디지털 환경에 익숙해 빠르고 간편한 것을 선호하고, 이러한..."
