Title,Link,Press,Description
""아이폰 110만원 할인" 파격에도…반응 시큰둥한 이유 [현장+]","https://www.hankyung.com/article/202412307504g","한국경제언론사 선정","정치권은 단통법 폐지가 '지원금 경쟁'을 유도해 소비자의 통신비 부담 완화에 기여할 것으로 기대했지만 현장 분위기는 이처럼 시큰둥했다.... 최근 휴대폰을 바꾸러 테크노마트를 찾았던 20대 여성 김모 씨도 “테크노마트에서 사는 게 기기 값은 더 쌀지 몰라도 의무 가입해 일정 기간 유지해야 하는..."
"전기차 화재로 들끓은 한 해···대비책은 "충전 시스템 관리"","https://www.womaneconomy.co.kr/news/articleView.html?idxno=229456","여성경제신문","체계적인 관리와 대책 부족으로 소비자 불안은 여전하다는 지적이다. 31일 소방청 국가화재정보센터에 따르면 최근 4년간 전기차 화재 건수는 총... 소방 당국은 전기차 전용 화재 진압 장비를 포함한 차량 20대와 인력 53명을 투입해 약 4시간 만에 완진했다. 전기차 화재가 진압에 오랜 시간이 걸리는 이유는..."
"지금, 여기, 갓생 외치는 잘파… X세대 부모보다 확고해진 ‘나’[신년...","https://www.seoul.co.kr/news/plan/2025/01/01/20250101014001?wlog_tag3=naver","서울신문언론사 선정","이들의 부모 세대가 상당수 1990년대에 20대를 보낸 X세대라는 점도 영향을 미친 것으로 분석된다. 임운택 계명대 사회학과 교수는 “X세대가 집단과 개인... 임 교수는 “잘파세대라는 단어가 나온 것은 소비 트렌드적인 측면이 크다”며 “소품종 대량생산에서 다품종 소량생산 시대로 넘어오면서 타깃을..."
"[분석] 떨어지지 않는 매출... 소녀전선 2의 '이유 있는 흥행'","https://www.thisisgame.com/webzine/special/nboard/11/?n=203690","디스이즈게임","이미 원작에서 풍부한 2차 창작과 밈(meme)이 축적되어 있었기에, 게임이 출시된 지 얼마 되지 않았음에도 캐릭터들의 매력이 소비자들에게 빠르게 어필될 수 있었다. 10년 후의 세월을 상정한 만큼 캐릭터도 성장했다. '소녀전선'의 초기 팬층 중 상당수가 당시 학생이었던 이들이 이제는 경제력을 갖춘 20대..."
""튼튼한 경제구조로 도민 한 명 한 명이 행복한 제주 완성"","http://www.jejumaeil.net/news/articleView.html?idxno=343314","제주매일","=급격하게 위축된 소비심리가 살아날 수 있도록 자생단체 등 도민사회와 함께 연말연시 소비 촉진 캠페인을 전개해나가면서 사회간접자본(SOC) 분야에... 올해는 RE100수소시범단지와 민간 수소충전소를 구축해 현재 운영되는 수소버스 21대와 수소청소차 1대에 더해 수소버스 20대와 수소청소차 2대를 각각..."
"“정치양극화 심각” 94.5%…누구탓? 정치권 47.0%","https://www.naeil.com/news/read/533900?ref=naver","내일신문","미디어 ‘유튜브’가 소셜네트워크(SNS)를 통해 ‘그들만의 소통’을 가능하게 했고 소비자가 좋아할 만한 동영상을 제공하는 ‘알고리즘’ 방식의... 20대와 30대, 70세 이상의 경우엔 ‘정치권’과 ‘언론’의 정치적 양극화에 대한 책임이 크다면서도 그 다음으로 ‘정부’보다는 ‘유튜브’에 더 큰 책임이..."
""위기에서도 럭키비키 외친다"…불안의 시대, Z세대 생존법은","https://www.news1.kr/life-culture/book/5647397","뉴스1","저성장, 인구 감소, 기후 위기 등 우하향 시대를 긍정의 태도로 헤쳐 나가며 지속 가능한 성장을 추구하는 Z세대를 가치관, 소비, 관계 등 여러 가지 측면에서 살펴본다. 20대연구소가 이 책을 펴낸 이유는 "Z세대 사이에서 유행하는 것이 곧 전 세대를 아우르는 트렌드가 되고 Z세대를 사로잡을 기획과..."
""앞길이 캄캄하다"…운세에 빠진 '불안증후군' 대한민국","https://www.sentv.co.kr/article/view/sentv202412270098","서울경제TV","대학내일 20대 연구소의 운세 이용 실태 조사 복서에 따르면 다양한 온라인 운세 채널을 활발하게 사용하고 있다. 무료 운세 앱이나 사이트를 이용하여... 운세 어플리케이션을 운영하는 스타트업들은 인공지능(AI)과 빅데이터를 기반으로 소비자 맞춤형 운세를 제공해가는 추세다. 천명은 데이터 분석..."
"거제시, 관광 데이터 분석···관광 활성화 전략 논의","http://www.enewstoday.co.kr/news/articleView.html?idxno=2219927","이뉴스투데이","이번 분석은 통신, 카드, SNS 데이터를 활용해 관광객의 속성, 이동 패턴, 소비 경향 등을 정밀히 파악하고 정책적 방향성을 도출하는 데 중점을 두고 이뤄졌다. 분석 결과 계절에 구애받지 않고 연중 꾸준한 관광객 방문, 20대·30대의 높은 방문 비중, 외국인 관광객의 증가세 등이 확인됐다. 해금강, 외도..."
"[2025 이미지 트렌드 코리아] '진정한 나다움'을 추구하는 한 해","https://www.sisaweek.com/news/articleView.html?idxno=221141","시사위크","이 과정에서 '진정한 나'를 유지할 필요가 있는데 오래토록 나다운 미래를 추구한다는 뜻으로서 대학내일 20대 연구소는 '자기보존'을 키워드로... 나이, 성별, 소득, 지역 등 소속된 집단의 일반적인 특성에 따르는 소비를 지양하고 자신만의 라이프스타일, 개성, 취향에 따라 소비하는 '옴니보어'의 전형적인..."
"[2025 이미지 트렌드 코리아] '진정한 나다움'을 추구하는 한 해","https://www.sisaweek.com/news/articleView.html?idxno=221141","시사위크","이 과정에서 '진정한 나'를 유지할 필요가 있는데 오래토록 나다운 미래를 추구한다는 뜻으로서 대학내일 20대 연구소는 '자기보존'을 키워드로... 나이, 성별, 소득, 지역 등 소속된 집단의 일반적인 특성에 따르는 소비를 지양하고 자신만의 라이프스타일, 개성, 취향에 따라 소비하는 '옴니보어'의 전형적인..."
"[문화뉴스 이코노픽] 하이트진로, MZ세대 음주 트렌드 선도한다","https://www.mhns.co.kr/news/articleView.html?idxno=705889","문화뉴스","주류 소비와 모임의 빈도가 늘어나는 연말이지만, MZ세대에는 과도한 음주보다 '즐기는' 음주가 트렌드로 자리잡고 있다. 팬데믹 이후 건강에 대한... 노년층의 주된 관심사로만 여겨지던 저당 식품, 혈당 관리가 20대와 30대까지 확산하고 있다. 이러한 경향성에 따라 하이트진로도 '제로' 라인업 확장에..."
