Title,Link,Press,Description
"[종합]'국민영수증' 송경아 "삼성동 빌라 소유…부티크호텔 주인이 꿈"...","http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=1225252","매일경제","세계적 톱모델 송경아가 재산 현황과 소비 패턴을 공개했다. 20대 초반 삼성동 한강뷰 빌라를 매입했다는 그는 향후 부티크호텔을 차리는 게 목표라고 밝혔다. 31일 밤 방송된 KBS Joy '국민 영수증' 17회에서는 모델 송경아가 게스트로 출연, 그의 영수증을 분석하는 시간이 공개됐다. 송경아는 "고등학생 때부터..."
"허태정 대전시장, 필수 공공의료 체계 구축 [신년사]","http://www.kukinews.com/newsView/kuk202112310197","쿠키뉴스","금년 한해는 국제적으로는 포스트 코로나의 영향과 국내적으로는 제20대 대통령 선거라는 큰 정치적인 일정의 결과물로 사회 전 분야에 걸쳐‘패러다임... 경기 침체 장기화에 따른 소비 위축, 고용 악화 등 반복되는 악순환의 고리를 끊어내고, 지역경제를 회복하여 ‘따뜻한 경제 도시 대전’을 만들고자..."
"연말연시 서점가 돌풍, '이재명' '박근혜' 책 판매 1, 2위","http://woman.chosun.com/news/articleView.html?idxno=93123","여성조선","베이글과 감자튀김, 소떡소떡, 과일, 시리얼, 찹스테이크, 우동, 만두, 크레페 등 20대 병사들이 좋아할 만한 메뉴들로 가득했습니다. "랍스터 먹으러... 책이 쉽게 펼쳐지고 그 상태를 계속 유지하기 때문에 독서대 없이 볼 수 있다는 것도 장점입니다.종이책 소비보다 전자책과 영상물 소비가 늘어나는..."
"'삼프로TV'는 어떻게 지난 대선 손석희의 자리를 대체했나 [위근우의 리...","https://www.khan.co.kr/national/media/article/202112311644005","경향신문언론사 선정","윤석열의 실언들이 그대로 헤드라인이 되어 파편적으로 소개돼도 해당 기사의 목적이 그러하듯 자극적 소비에서 끝날 뿐이다. 중요한 건 파편적이고... ‘삼프로TV’ 출연으로 20대 남성 지지율이 올라가자 그들의 입맛에 맞추겠답시고 정말로 뉴 미디어로서 새로운 진보 의제 형성을 위해 애써온 ‘닷페이스’..."
"호랑이띠 인물 누가 있나…트로트 여왕 송가인도 있었네","http://news.mk.co.kr/newsRead.php?no=1224479&year=2021","매일경제언론사 선정","올해는 제20대 대통령선거를 앞두고 있는 만큼 정계 인물들에 대한 국민적 관심이 높다. 특히 호랑이띠 정치인들은 새해를 맞아 호시탐탐 기회를... 소비자가전(CE)과 IT·모바일(IM) 부문을 합친 DX부문 수장을 맡게 된 그는 '원(One) 삼성'을 강조한 바 있다. 한 부회장은 DX부문의 새로운 비즈니스 모델을 적극..."
"[신년 인터뷰] 박남춘 인천시장 "기본이 탄탄한 신성장산업 육성에 총력...","http://www.ifm.kr/news/325911","경인방송","◇ 박남춘 : 인천이음카드로 드렸기 때문에 많은 부분이 아마 지역 상권에서 소비가 될 것입니다."경인고속도로, 대규모 숲길 조성 예정" ◆ 김성민... "재선 도전, 연속성을 잃고 표류하는 정책 없어야 한다" ◆ 김성민 : 다가오는 2022년에는 20대 대선이 있고 또 제 8회 전국동시지방선거 등 큰 선거가 잇달아..."
"<딜링룸 백브리핑> "美 교회, 빅데이터 활용해 신도 모집"","http://news.einfomax.co.kr/news/articleView.html?idxno=4191569","연합인포맥스","교회가 소비자 데이터를 분석해 마케팅에 활용하는 기업처럼 활동하도록 지원한다. 저널은 이 회사가 사람들의 삶 속에서 가장 힘든 순간을... 연령대별로 보면 20대의 연 수입은 341만엔, 30대는 437만엔, 40대는 502만엔으로 7~8만엔 줄었다. 50대 이상은 613만엔으로 전년과 같았다. NHK는 신종 코로나바이러스..."
"[백세시대 / 세상읽기] "5년마다 반복되는 '부실사업' 바꿀 수 없을까"","http://www.100ssd.co.kr/news/articleView.html?idxno=83743","백세시대","올해 20대 대통령 선거에서 후보자는 513억원의 선거비용을 사용한다. 이는 전체 인구수에 950원을 곱해서 나온 금액에 전국소비자물가변동률을 감안해 산정한 것이다. 소비자물가지수는 가정이 소비하기 위해 구입하는 재화와 용역의 평균 가격을 측정한 지수이다. 이 지수의 변동률로 인플레이션을..."
"오미크론發 인력난…각국서 '격리 단축' 요구","https://www.hankyung.com/international/article/202112317328i","한국경제","이에 따라 열차 20대 중 1대가 운행이 취소됐다. 이는 평소의 두 배 수준이다. 영국은 공공서비스를 유지하기 위해 코로나19 확진자의 자가격리 기간을... 정책에 따라 봉쇄령을 엄격히 시행했기 때문이다. 봉쇄 조치에 따라 소비는 억제된 반면 영세기업이 감당해야 할 원자재와 물류 비용 등은 크게 늘었다."
"[신년사] 허태정 대전시장 "내년 지역 경제 회복, 균형 발전 총력"","http://www.goodmorningcc.com/news/articleView.html?idxno=262487","굿모닝충청","금년 한해는 국제적으로는 포스트 코로나의 영향과 국내적으로는 제20대 대통령 선거라는 큰 정치적인 일정의 결과물로 사회 전 분야에 걸쳐'패러다임... 경기 침체 장기화에 따른 소비 위축, 고용 악화 등 반복되는 악순환의 고리를 끊어내고, 지역경제를 회복하여 '따뜻한 경제 도시 대전'을 만들고자 합니다...."
